Rk,Player,HR,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
408,Jean Segura,3,2023,33,MIA,NL,85,326,301,25,66,56,5,2,3,21,6,2,22,47,.219,.277,.279,.556,52,84,12,2,1,0,1,5/H,segurje01
409,Tyler Soderstrom,3,2023,21,OAK,AL,45,138,125,9,20,16,1,0,3,7,0,0,11,43,.160,.232,.240,.472,36,30,6,1,0,1,0,D23/H,soderty01
410,Jacob Stallings,3,2023,33,MIA,NL,88,276,241,22,46,29,14,0,3,20,0,0,27,67,.191,.278,.286,.565,54,69,9,3,3,2,0,2/1DH,stallja01
411,Trevor Story,3,2023,30,BOS,AL,43,168,158,12,32,20,9,0,3,14,10,3,9,55,.203,.250,.316,.566,52,50,2,1,0,0,0,6/DH4,storytr01
412,Raimel Tapia,3,2023,29,BOSMILTBR,ALNL,64,169,148,28,35,27,4,1,3,13,10,2,17,40,.236,.317,.338,.655,79,50,2,1,1,1,0,9H7/8D,tapiara01
413,Taylor Trammell,3,2023,25,SEA,AL,22,56,46,7,6,3,0,0,3,11,0,1,9,22,.130,.286,.326,.612,73,15,2,1,0,0,0,7/DH8,trammta01
414,Jared Triolo,3,2023,25,PIT,NL,54,209,181,30,54,42,9,0,3,21,6,1,24,63,.298,.388,.398,.785,116,72,0,3,0,1,0,54/3HD,triolja01
415,Luis Urías,3,2023,26,BOSMIL,ALNL,52,177,144,18,28,19,6,0,3,18,0,0,21,41,.194,.337,.299,.636,76,43,4,10,0,0,0,45/H,uriaslu01
416,Jason Vosler,3,2023,29,CIN,NL,20,65,62,6,10,4,2,1,3,10,0,0,3,25,.161,.200,.371,.571,49,23,0,0,0,0,0,3/51H,vosleja01
417,Jordan Westburg,3,2023,24,BAL,AL,68,228,208,26,54,32,17,2,3,23,4,1,16,56,.260,.311,.404,.715,100,84,3,1,0,3,0,45H/D,westbjo01
418,Mike Zunino,3,2023,32,CLE,AL,42,140,124,11,22,12,7,0,3,11,0,0,15,61,.177,.271,.306,.578,62,38,3,1,0,0,0,2,zuninmi01
419,Wilyer Abreu,2,2023,24,BOS,AL,28,85,76,10,24,16,6,0,2,14,3,1,9,23,.316,.388,.474,.862,132,36,0,0,0,0,0,78/H9D,abreuwi02
420,Nick Ahmed,2,2023,33,ARI,NL,72,210,198,14,42,29,10,1,2,17,5,1,12,52,.212,.257,.303,.560,53,60,0,0,0,0,0,6H/D,ahmedni01
421,Jake Alu,2,2023,26,WSN,NL,51,175,159,14,36,31,2,1,2,16,5,1,10,42,.226,.282,.289,.571,59,46,2,3,1,2,0,74/5H,aluja01
422,Jonathan Aranda,2,2023,25,TBR,AL,34,103,87,13,20,13,4,1,2,13,0,0,13,31,.230,.340,.368,.708,98,32,1,2,0,1,1,D3H/45,arandjo01
423,José Azocar,2,2023,27,SDP,NL,55,102,91,16,21,13,6,0,2,9,8,2,4,24,.231,.278,.363,.641,78,33,2,2,5,0,0,98H/7D,azocajo01
424,Ji Hwan Bae,2,2023,23,PIT,NL,111,371,334,54,77,56,17,2,2,32,24,9,30,92,.231,.296,.311,.608,67,104,4,2,3,2,0,48H/6,baeji01
425,Luken Baker,2,2023,26,STL,NL,33,99,86,9,18,13,3,0,2,10,0,0,13,31,.209,.313,.314,.627,73,27,1,0,0,0,0,D3/H,bakerlu01
426,Austin Barnes,2,2023,33,LAD,NL,59,200,178,15,32,25,5,0,2,11,2,1,17,43,.180,.256,.242,.498,36,43,7,2,1,2,0,2/H4D,barneau01
427,Matthew Batten,2,2023,28,SDP,NL,43,139,120,19,31,23,6,0,2,11,2,2,17,30,.258,.355,.358,.713,101,43,0,1,1,0,0,45/3H6D,battema01
428,Michael Brantley,2,2023,36,HOU,AL,15,57,54,7,15,11,2,0,2,7,0,0,2,2,.278,.298,.426,.724,98,23,2,0,0,1,0,7/DH,brantmi02
429,Michael Busch,2,2023,25,LAD,NL,27,81,72,9,12,7,3,0,2,7,1,0,8,27,.167,.247,.292,.539,45,21,0,0,0,1,0,5/D3H47,buschmi02
430,Michael Chavis,2,2023,27,WSN,NL,48,96,91,16,22,17,3,0,2,5,1,0,5,33,.242,.281,.341,.622,72,31,3,0,0,0,0,4H/35D79,chavimi01
431,Jonathan Davis,2,2023,31,MIA,NL,34,104,90,22,22,15,4,1,2,10,1,2,7,29,.244,.307,.378,.685,85,34,1,2,2,2,0,8/H97,davisjo05
432,Jonny DeLuca,2,2023,24,LAD,NL,24,45,42,5,11,8,1,0,2,6,1,0,3,8,.262,.311,.429,.740,97,18,0,0,0,0,0,H/789D,delucjo01
433,Corey Dickerson,2,2023,34,WSN,NL,50,152,144,12,36,26,7,1,2,17,0,1,7,28,.250,.283,.354,.637,76,51,3,0,0,1,0,7/HD9,dickeco01
434,Brandon Dixon,2,2023,31,SDP,NL,33,86,79,10,16,10,4,0,2,9,1,0,1,31,.203,.244,.329,.573,59,26,1,4,0,2,0,3/9HD71,dixonbr01
435,Hunter Dozier,2,2023,31,KCR,AL,29,91,82,8,15,10,2,1,2,9,2,0,8,29,.183,.253,.305,.558,53,25,0,0,0,1,0,5/397HD,doziehu01
436,Matt Duffy,2,2023,32,KCR,AL,78,209,191,17,48,38,8,0,2,16,1,0,12,39,.251,.306,.325,.631,75,62,4,4,0,2,0,54H3/D16,duffyma01
437,Drew Ellis,2,2023,27,PHI,NL,12,29,23,4,5,3,0,0,2,4,0,1,6,7,.217,.379,.478,.858,134,11,0,0,0,0,0,/35H,ellisdr01
438,Santiago Espinal,2,2023,28,TOR,AL,93,254,230,30,57,41,14,0,2,25,2,1,18,36,.248,.310,.335,.644,80,77,5,3,2,1,1,45H6/D,espinsa01
439,Tyler Fitzgerald,2,2023,25,SFG,NL,10,34,32,3,7,3,2,0,2,5,2,0,2,10,.219,.265,.469,.733,98,15,0,0,0,0,0,/85,fitzgty01
440,Dominic Fletcher,2,2023,25,ARI,NL,28,102,93,10,28,20,5,1,2,14,0,2,7,22,.301,.350,.441,.791,115,41,0,0,2,0,1,89/7H,fletcdo01
441,David Fletcher,2,2023,29,LAA,AL,33,97,89,7,22,19,1,0,2,12,0,0,7,9,.247,.302,.326,.628,72,29,2,0,1,0,1,64/5H,fletcda02
442,José Barrero,2,2023,25,CIN,NL,46,149,133,15,29,19,8,0,2,17,3,2,15,44,.218,.295,.323,.619,67,43,1,0,0,1,0,68/HD,garcijo02
443,Kyle Garlick,2,2023,31,MIN,AL,14,30,28,2,5,2,1,0,2,4,0,0,2,11,.179,.233,.429,.662,77,12,0,0,0,0,0,/9H7D,garliky01
444,Oscar González,2,2023,25,CLE,AL,54,180,173,15,37,26,7,2,2,12,0,0,5,46,.214,.239,.312,.551,53,54,2,1,0,1,0,9D/H7,gonzaos01
445,Nick Gonzales,2,2023,24,PIT,NL,35,128,115,12,24,13,8,1,2,13,0,1,6,36,.209,.268,.348,.616,67,40,0,4,1,2,0,4/6H,gonzani01
446,Nick Gordon,2,2023,27,MIN,AL,34,93,91,13,16,8,5,1,2,7,0,0,1,11,.176,.185,.319,.503,35,29,1,0,1,0,0,874H/6,gordoni01
447,Josh Harrison,2,2023,35,PHI,NL,40,114,103,8,21,16,3,0,2,10,0,0,3,20,.204,.263,.291,.554,53,30,2,6,0,2,0,5H4/719D,harrijo05
448,Eric Hosmer,2,2023,33,CHC,NL,31,100,94,7,22,17,3,0,2,14,0,0,6,25,.234,.280,.330,.610,64,31,5,0,0,0,0,3D/H,hosmeer01
449,Carson Kelly,2,2023,28,ARIDET,ALNL,50,151,136,13,28,21,5,0,2,13,1,0,14,40,.206,.278,.287,.565,56,39,2,0,0,1,0,2/1DH,kellyca02
450,Heston Kjerstad,2,2023,24,BAL,AL,13,33,30,3,7,4,1,0,2,3,0,0,2,10,.233,.281,.467,.748,106,14,0,0,0,0,0,/DH79,kjershe01
451,Jake Lamb,2,2023,32,LAA,AL,18,54,51,7,11,8,1,0,2,5,0,0,3,15,.216,.259,.353,.612,65,18,1,0,0,0,0,3/H1,lambja01
452,Tim Locastro,2,2023,30,NYM,NL,43,67,56,13,13,8,3,0,2,3,6,0,3,22,.232,.338,.393,.731,102,22,0,6,2,0,0,7H/8D9,locasti01
453,Jordan Luplow,2,2023,29,MINTOR,AL,39,90,77,11,16,11,3,0,2,5,2,0,12,27,.208,.322,.325,.647,80,25,1,1,0,0,1,7H/9D318,luplojo01
454,Nick Madrigal,2,2023,26,CHC,NL,92,294,270,34,71,52,16,1,2,28,10,2,10,24,.263,.311,.352,.663,79,95,3,9,5,0,0,5H4/D,madrini01
455,Jake Marisnick,2,2023,32,CHWDETLAD,ALNL,46,83,76,10,18,11,3,2,2,10,2,3,3,21,.237,.280,.408,.688,86,31,4,2,1,1,0,8/H9D,marisja01
456,Luis Matos,2,2023,21,SFG,NL,76,253,228,24,57,41,13,1,2,14,3,0,20,33,.250,.319,.342,.661,84,78,3,3,2,0,0,897/HD,matoslu02
457,Ronny Mauricio,2,2023,22,NYM,NL,26,108,101,11,25,19,4,0,2,9,7,0,7,31,.248,.296,.347,.643,77,35,2,0,0,0,0,4/56,mauriro01
458,Jake McCarthy,2,2023,25,ARI,NL,99,312,276,37,67,53,7,5,2,16,26,4,26,62,.243,.318,.326,.644,77,90,4,5,4,1,0,9H8/D,mccarja02
459,Ryan McKenna,2,2023,26,BAL,AL,88,139,122,23,31,22,7,0,2,18,5,0,9,40,.254,.316,.361,.677,91,44,4,3,3,2,0,98H7/1D,mckenry01
460,Omar Narváez,2,2023,31,NYM,NL,49,146,128,12,27,20,5,0,2,7,0,0,14,27,.211,.283,.297,.580,61,38,1,0,1,3,0,2/H,narvaom01
461,Tyler Nevin,2,2023,26,DET,AL,41,111,95,11,19,13,3,1,2,10,0,1,12,25,.200,.306,.316,.622,72,30,1,3,0,1,0,5HD/379,nevinty01
462,Cristian Pache,2,2023,24,PHI,NL,48,95,84,12,20,10,7,1,2,11,2,3,10,27,.238,.319,.417,.736,100,35,1,0,1,0,0,78H/9D,pachecr01
463,Oswald Peraza,2,2023,23,NYY,AL,52,191,173,15,33,23,8,0,2,14,4,3,13,50,.191,.267,.272,.539,49,47,1,5,0,0,0,54/6HD,perazos02
464,Ceddanne Rafaela,2,2023,22,BOS,AL,28,89,83,11,20,12,6,0,2,5,3,1,4,28,.241,.281,.386,.666,78,32,2,1,0,1,0,8/H64D,rafaece01
465,Anthony Rendon,2,2023,33,LAA,AL,43,183,148,23,35,27,6,0,2,22,2,0,25,27,.236,.361,.318,.678,88,47,6,6,0,4,0,5,rendoan01
466,Franmil Reyes,2,2023,27,KCR,AL,19,65,59,5,11,9,0,0,2,7,0,0,4,24,.186,.231,.288,.519,42,17,3,0,0,2,0,D/7H9,reyesfr01
467,Pablo Reyes,2,2023,29,BOS,AL,64,185,167,27,48,37,9,0,2,20,7,2,14,21,.287,.339,.377,.716,94,63,3,0,2,2,0,64H/513D,reyespa01
468,Johan Rojas,2,2023,22,PHI,NL,59,164,149,24,45,32,9,2,2,23,14,1,5,42,.302,.342,.430,.771,111,64,1,4,6,0,0,8H/D,rojasjo03
469,Ben Rortvedt,2,2023,25,NYY,AL,32,79,68,6,8,5,1,0,2,4,0,0,11,19,.118,.241,.221,.461,28,15,1,0,0,0,0,2/HD,rortvbe01
470,Eguy Rosario,2,2023,23,SDP,NL,11,37,36,6,9,5,1,1,2,6,0,0,1,12,.250,.270,.500,.770,109,18,1,0,0,0,0,5/H4,rosareg01
471,Jon Singleton,2,2023,31,HOUMIL,ALNL,36,105,91,11,15,10,3,0,2,12,0,0,13,23,.165,.267,.264,.530,48,24,2,0,0,1,0,3H/D,singljo02
472,Abraham Toro,2,2023,26,MIL,NL,9,21,18,4,8,6,0,0,2,9,0,0,2,5,.444,.524,.778,1.302,252,14,0,1,0,0,0,/5H3D,toroab01
473,Gio Urshela,2,2023,31,LAA,AL,62,228,214,22,64,53,8,1,2,24,3,2,10,36,.299,.329,.374,.703,91,80,9,1,0,3,0,53/6H4,urshegi01
474,Andrew Velazquez,2,2023,28,LAA,AL,54,94,81,12,14,9,3,0,2,3,13,3,10,30,.173,.264,.284,.548,50,23,1,0,3,0,0,6H4/8,velazan01
475,Joey Wendle,2,2023,33,MIA,NL,112,318,297,33,63,42,16,3,2,20,7,1,13,67,.212,.248,.306,.554,50,91,8,2,3,3,0,6/H,wendljo01
476,Masyn Winn,2,2023,21,STL,NL,37,137,122,8,21,17,2,0,2,12,2,1,10,26,.172,.230,.238,.467,29,29,1,0,2,3,0,6,winnma01
477,Brett Wisely,2,2023,24,SFG,NL,51,131,120,10,21,14,5,0,2,8,2,1,9,40,.175,.231,.267,.497,38,32,2,0,1,1,0,48/H167,wiselbr01
478,Juan Yepez,2,2023,25,STL,NL,28,65,60,5,11,8,1,0,2,2,0,1,4,20,.183,.246,.300,.546,49,18,0,1,0,0,0,DH/79,yepezju01
479,Jared Young,2,2023,27,CHC,NL,16,47,43,8,8,3,0,3,2,8,2,0,3,13,.186,.255,.465,.720,88,20,1,1,0,0,0,3/DH,youngja02
480,Jorge Alfaro,1,2023,30,BOSCOL,ALNL,18,52,48,2,7,2,4,0,1,4,0,0,2,15,.146,.212,.292,.503,31,14,3,2,0,0,0,/D2H,alfarjo01
481,Greg Allen,1,2023,30,NYY,AL,22,28,23,6,5,2,1,1,1,1,3,1,2,10,.217,.333,.478,.812,119,11,0,2,1,0,0,7H/98D,allengr01
482,Tim Anderson,1,2023,30,CHW,AL,123,524,493,52,121,100,18,2,1,25,13,2,26,122,.245,.286,.296,.582,60,146,15,3,0,2,0,*6/H4,anderti01
483,Tucker Barnhart,1,2023,32,CHC,NL,43,123,109,6,22,18,3,0,1,9,1,0,12,42,.202,.285,.257,.541,48,28,4,1,0,1,0,2/1H,barnhtu01
484,Osleivis Basabe,1,2023,22,TBR,AL,31,94,87,15,19,13,5,0,1,12,0,1,6,25,.218,.277,.310,.587,64,27,2,1,0,0,0,6/5H497,basabos01
485,Travis Blankenhorn,1,2023,26,WSN,NL,10,37,31,2,5,4,0,0,1,1,0,0,6,6,.161,.297,.258,.555,57,8,0,0,0,0,0,/79,blanktr01
486,Jackie Bradley Jr.,1,2023,33,KCR,AL,43,113,105,10,14,8,5,0,1,6,0,0,5,29,.133,.188,.210,.397,10,22,3,2,1,0,0,89/7H,bradlja02
487,Peyton Burdick,1,2023,26,MIA,NL,14,37,33,4,6,3,2,0,1,2,1,0,3,18,.182,.270,.333,.604,63,11,0,1,0,0,0,9/8H7,burdipe01
488,Trey Cabbage,1,2023,26,LAA,AL,22,56,53,5,11,7,3,0,1,7,1,1,2,26,.208,.232,.321,.553,49,17,1,0,0,1,0,/39H78,cabbatr01
489,Junior Caminero,1,2023,19,TBR,AL,7,36,34,4,8,6,1,0,1,7,0,0,2,8,.235,.278,.353,.631,75,12,2,0,0,0,0,/56D4,caminju01
490,Alexander Canario,1,2023,23,CHC,NL,6,17,17,1,5,2,1,1,1,6,0,0,0,8,.294,.294,.647,.941,143,11,0,0,0,0,0,/DH789,canaral01
491,Harold Castro,1,2023,29,COL,NL,99,270,258,24,65,51,13,0,1,31,1,0,9,66,.252,.275,.314,.589,52,81,5,0,1,2,0,4H8/769D15,castrha01
492,Ernie Clement,1,2023,27,TOR,AL,29,52,50,7,19,16,1,1,1,10,1,0,1,4,.380,.385,.500,.885,144,25,0,0,0,1,0,6H/45D1,clemeer01
493,Oneil Cruz,1,2023,24,PIT,NL,9,40,32,7,8,6,1,0,1,4,3,0,7,8,.250,.375,.375,.750,107,12,0,0,0,1,0,/6,cruzon01
494,David Dahl,1,2023,29,SDP,NL,4,9,9,1,1,0,0,0,1,1,0,0,0,2,.111,.111,.444,.556,45,4,0,0,0,0,0,/9H,dahlda01
495,Bobby Dalbec,1,2023,28,BOS,AL,21,53,49,6,10,7,2,0,1,1,1,0,4,28,.204,.264,.306,.570,54,15,0,0,0,0,0,3/H5D46,dalbebo01
496,Jason Delay,1,2023,28,PIT,NL,70,187,167,20,42,29,11,1,1,18,0,0,14,44,.251,.319,.347,.666,83,58,5,3,2,1,0,2/H,delayja01
497,Hunter Goodman,1,2023,23,COL,NL,23,77,70,6,14,6,4,3,1,17,1,0,5,24,.200,.247,.386,.632,60,27,2,0,0,2,0,9/3DH,goodmhu01
498,Tristan Gray,1,2023,27,TBR,AL,2,5,5,1,2,1,0,0,1,1,0,0,0,0,.400,.400,1.000,1.400,272,5,0,0,0,0,0,/36,graytr01
499,Luis Guillorme,1,2023,28,NYM,NL,54,120,107,12,24,16,6,1,1,9,0,0,10,28,.224,.288,.327,.615,70,35,4,0,2,1,1,45/6H1,guilllu01
500,Sam Haggerty,1,2023,29,SEA,AL,52,108,91,13,23,18,3,1,1,5,10,1,15,17,.253,.364,.341,.705,102,31,0,1,1,0,0,H7D4/389,haggesa01
501,Darick Hall,1,2023,27,PHI,NL,18,56,54,2,9,7,1,0,1,3,0,0,2,18,.167,.196,.241,.437,20,13,2,0,0,0,0,3/H,hallda02
502,Austin Hedges,1,2023,30,PITTEX,ALNL,81,212,185,14,34,28,5,0,1,16,1,0,11,47,.184,.234,.227,.461,27,42,7,2,10,3,0,2/1DH,hedgeau01
503,David Hensley,1,2023,27,HOU,AL,30,94,84,12,10,8,1,0,1,3,1,0,10,35,.119,.213,.167,.379,8,14,0,0,0,0,0,D/4H375,henslda01
504,Spencer Horwitz,1,2023,25,TOR,AL,15,44,39,5,10,7,2,0,1,7,0,0,4,12,.256,.341,.385,.726,102,15,1,1,0,0,0,/D3H,horwisp01
505,Travis Jankowski,1,2023,32,TEX,AL,107,287,247,34,65,51,12,1,1,30,19,1,35,42,.263,.357,.332,.689,90,82,6,2,1,2,0,7H98/D,jankotr01
506,Bryce Johnson,1,2023,27,SFG,NL,30,48,43,7,7,5,1,0,1,3,3,0,4,15,.163,.229,.256,.485,35,11,0,0,0,1,0,8/H7,johnsbr03
507,Grae Kessinger,1,2023,25,HOU,AL,26,45,40,3,8,5,2,0,1,1,0,1,5,12,.200,.289,.325,.614,70,13,0,0,0,0,0,/H5643,kessigr01
508,Korey Lee,1,2023,24,CHW,AL,24,70,65,4,5,3,1,0,1,3,0,0,5,20,.077,.143,.138,.281,-22,9,0,0,0,0,0,2/DH,leeko01
509,Kyle Lewis,1,2023,27,ARI,NL,16,54,51,2,8,5,2,0,1,2,0,0,3,21,.157,.204,.255,.459,25,13,0,0,0,0,0,D/H7,lewisky01
510,Andre Lipcius,1,2023,25,DET,AL,13,38,35,3,10,8,1,0,1,4,0,0,3,8,.286,.342,.400,.742,103,14,1,0,0,0,0,5/HD,lipcian01
511,Nicky Lopez,1,2023,28,ATLKCR,ALNL,93,262,225,32,52,40,8,3,1,25,6,2,26,40,.231,.326,.307,.632,75,69,3,6,4,1,0,456H/317D,lopezni01
512,J.P. Martínez,1,2023,27,TEX,AL,17,44,40,7,9,7,1,0,1,4,0,0,2,16,.225,.250,.325,.575,55,13,0,0,0,2,0,/H79D8,martijp01
513,Miles Mastrobuoni,1,2023,27,CHC,NL,60,149,133,24,32,26,5,0,1,5,13,1,13,32,.241,.308,.301,.609,65,40,1,0,3,0,0,5H/49D617,mastrmi01
514,Reese McGuire,1,2023,28,BOS,AL,72,206,187,15,50,36,12,1,1,16,2,1,11,53,.267,.310,.358,.668,80,67,2,1,2,1,0,2H/D,mcguire01
515,Curtis Mead,1,2023,22,TBR,AL,24,92,83,12,21,16,3,1,1,5,0,0,7,21,.253,.326,.349,.675,89,29,3,2,0,0,0,5/46DH,meadcu01
516,Danny Mendick,1,2023,29,NYM,NL,33,69,65,4,12,8,3,0,1,4,1,0,4,15,.185,.232,.277,.509,40,18,1,0,0,0,0,4/5H7D1,mendida01
517,Drew Millas,1,2023,25,WSN,NL,11,33,28,1,8,5,2,0,1,6,0,0,4,5,.286,.375,.464,.839,131,13,2,0,1,0,0,2/H,milladr01
518,Brad Miller,1,2023,33,TEX,AL,27,67,56,8,12,7,4,0,1,6,0,0,10,11,.214,.328,.339,.668,83,19,1,0,0,1,0,D/H315,millebr02
519,Coco Montes,1,2023,26,COL,NL,18,41,38,3,7,4,2,0,1,3,0,0,2,12,.184,.244,.316,.560,44,12,0,1,0,0,0,4/5H6,monteco01
520,Dane Myers,1,2023,27,MIA,NL,22,70,67,9,18,14,3,0,1,9,1,1,2,19,.269,.286,.358,.644,74,24,1,0,0,1,0,8/7DH,myersda01
521,Austin Nola,1,2023,33,SDP,NL,52,154,130,9,19,15,3,0,1,8,0,0,18,31,.146,.260,.192,.452,30,25,5,2,4,0,0,2/H,nolaau01
522,Rafael Ortega,1,2023,32,NYM,NL,47,136,114,16,25,21,3,0,1,8,6,1,20,33,.219,.341,.272,.613,73,31,0,1,1,0,0,87/H9D,ortegra01
523,Carlos Pérez,1,2023,26,CHW,AL,27,53,49,5,10,5,4,0,1,3,0,0,4,11,.204,.264,.347,.611,65,17,2,0,0,0,0,2H/D,perezca03
524,Manny Piña,1,2023,36,OAK,AL,4,12,12,1,3,2,0,0,1,1,0,0,0,3,.250,.250,.500,.750,108,6,1,0,0,0,0,/2D,pinama01
525,Logan Porter,1,2023,27,KCR,AL,11,38,31,4,6,4,1,0,1,3,0,0,5,11,.194,.324,.323,.647,80,10,2,1,1,0,0,2,portelo01
526,Heliot Ramos,1,2023,23,SFG,NL,25,60,56,5,10,5,4,0,1,2,0,0,4,20,.179,.233,.304,.537,48,17,1,0,0,0,0,79/H8D,ramoshe02
527,Rob Refsnyder,1,2023,32,BOS,AL,89,243,202,31,50,39,9,1,1,28,7,2,33,47,.248,.365,.317,.682,87,64,8,5,1,1,0,7H8/D9,refsnro01
528,Zach Remillard,1,2023,29,CHW,AL,54,160,147,16,37,29,7,0,1,18,4,3,8,48,.252,.295,.320,.615,69,47,3,1,4,0,1,4/H5976D,remilza01
529,Edwin Ríos,1,2023,29,CHC,NL,18,34,28,3,2,0,1,0,1,2,0,0,5,16,.071,.235,.214,.450,23,6,0,1,0,0,0,D/H5,riosed01
530,Nolan Schanuel,1,2023,21,LAA,AL,29,132,109,19,30,26,3,0,1,6,0,0,20,19,.275,.402,.330,.732,103,36,1,3,0,0,1,3/DH,schanno01
531,Myles Straw,1,2023,28,CLE,AL,147,518,462,52,110,88,18,3,1,29,20,6,42,97,.238,.301,.297,.597,69,137,10,2,6,6,0,*8/H,strawmy01
532,Garrett Stubbs,1,2023,30,PHI,NL,41,125,113,15,23,17,4,1,1,12,2,0,9,29,.204,.274,.283,.557,54,32,0,2,1,0,0,2/H7,stubbga01
533,Brett Sullivan,1,2023,29,SDP,NL,33,86,81,7,17,13,3,0,1,6,0,0,4,19,.210,.244,.284,.528,48,23,1,0,0,1,0,2/H5,sullibr01
534,Cody Thomas,1,2023,28,OAK,AL,19,46,42,1,10,6,3,0,1,2,0,0,4,17,.238,.304,.381,.685,95,16,1,0,0,0,0,9/HD7,thomaco01
535,Forrest Wall,1,2023,27,ATL,NL,15,15,13,6,6,3,2,0,1,2,5,1,2,4,.462,.533,.846,1.379,264,11,0,0,0,0,0,/H7D89,wallfo01
536,Weston Wilson,1,2023,28,PHI,NL,8,22,16,5,5,4,0,0,1,2,3,1,6,5,.313,.500,.500,1.000,177,8,0,0,0,0,0,/7H3459,wilsowe01
537,Jesse Winker,1,2023,29,MIL,NL,61,197,166,16,33,27,5,0,1,23,0,0,26,51,.199,.320,.247,.567,60,41,0,4,0,1,0,DH/97,winkeje01
538,Austin Wynns,1,2023,32,COLLADSFG,NL,51,145,130,11,27,20,6,0,1,10,1,0,9,39,.208,.268,.277,.545,42,36,4,2,3,1,0,2/H,wynnsau01
539,Jordyn Adams,0,2023,23,LAA,AL,17,40,39,1,5,5,0,0,0,1,1,2,0,16,.128,.125,.128,.253,-31,5,0,0,0,1,0,/98H7,adamsjo03
540,Ty Adcock,0,2023,26,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,adcocty01
541,Ehire Adrianza,0,2023,33,ATL,NL,5,11,10,0,0,0,0,0,0,0,0,0,1,4,.000,.091,.000,.091,-72,0,0,0,0,0,0,/6H,adriaeh01
542,Scott Alexander,0,2023,33,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,alexasc02
543,Abraham Almonte,0,2023,34,NYM,NL,8,16,15,1,1,0,1,0,0,0,0,0,1,8,.067,.125,.133,.258,-28,2,0,0,0,0,0,/HD79,almonab01
544,Jacob Amaya,0,2023,24,MIA,NL,4,9,9,1,2,2,0,0,0,2,1,0,0,1,.222,.222,.222,.444,22,2,0,0,0,0,0,/64,amayaja01
545,Bryan Baker,0,2023,28,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bakerbr01
546,Rylan Bannon,0,2023,27,HOU,AL,2,6,6,0,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,/4D,bannory01
547,Scott Barlow,0,2023,30,KCRSDP,ALNL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,barlosc01
548,Tres Barrera,0,2023,28,STL,NL,6,2,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2H,barretr01
549,Joey Bart,0,2023,26,SFG,NL,30,95,87,9,18,13,5,0,0,5,0,0,3,23,.207,.263,.264,.528,47,23,0,4,0,1,0,2/H,bartjo01
550,Mike Baumann,0,2023,27,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,baumami01
551,Matt Beaty,0,2023,30,KCRSFG,ALNL,30,72,61,8,14,10,4,0,0,4,0,0,6,14,.230,.347,.295,.642,80,18,1,5,0,0,0,3H/D91,beatyma01
552,Anthony Bemboom,0,2023,33,BAL,AL,6,13,11,0,2,2,0,0,0,0,0,0,2,2,.182,.308,.182,.490,44,2,0,0,0,0,0,/2,bemboan01
553,José Berríos,0,2023,29,TOR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,berrijo01
554,Matt Brash,0,2023,25,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,brashma01
555,Ryan Brasier,0,2023,35,BOSLAD,ALNL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,brasiry01
556,Jonah Bride,0,2023,27,OAK,AL,40,106,88,9,15,12,3,0,0,7,0,1,11,22,.170,.286,.205,.490,45,18,3,4,1,2,0,5/HD3,bridejo01
557,Vidal Bruján,0,2023,25,TBR,AL,37,84,76,14,13,11,2,0,0,6,3,2,5,21,.171,.241,.197,.438,25,15,1,2,1,0,0,4H/695,brujavi01
558,J.B. Bukauskas,0,2023,26,MILSEA,ALNL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,bukaujb01
559,Aaron Bummer,0,2023,29,CHW,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bummeaa01
560,Génesis Cabrera,0,2023,26,STLTOR,ALNL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,cabrege01
561,Johan Camargo,0,2023,29,SFG,NL,8,20,18,0,4,4,0,0,0,2,0,0,1,4,.222,.300,.222,.522,49,4,2,1,0,0,0,/65,camarjo01
562,Yennier Cano,0,2023,29,BAL,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,canoye01
